"rank","name","position","team","comp","attempt","pass_yds","pass_td","int","car","rush_yds","rush_td","receptions","rec_yds","rec_td","tar","pct_rost","pts_tot","pts_avg","games","pos_rank","pos","pos_avg_var","pos_med_var","val_adj_avg","val_adj_med","val1","val2","val_adj_range","val3","avg_val"
116,"Michael Carter","RB","NYJ",0,0,0,0,0,99,424,3,43,367,2,61,74.4,149.5,10,15,39,"rb4",0.866666666666667,0.75,0.0948905109489052,0.0810810810810811,1.09489051094891,1.08108108108108,0.3125,1.3125,1.16282386401
117,"Melvin Gordon III","RB","Den",0,0,0,0,0,139,604,6,25,187,1,33,76.6,148.6,9.9,15,40,"rb4",0.766666666666667,0.65,0.0839416058394162,0.0702702702702703,1.08394160583942,1.07027027027027,0.270833333333333,1.27083333333333,1.14168173648101
118,"Nyheim Hines","RB","Ind",0,0,0,0,0,60,266,2,52,408,2,70,60.8,149.3,10,15,41,"rb4",0.866666666666667,0.75,0.0948905109489052,0.0810810810810811,1.09489051094891,1.08108108108108,0.3125,1.3125,1.16282386401
119,"Hunter Henry","TE","NE",0,0,0,0,0,0,0,0,52,563,6,78,80.5,145.3,9.1,16,12,"te1",-2.225,-2.1,-0.196467991169978,-0.1875,4.01766004415011,4.0625,-0.323076923076923,3.38461538461539,3.8215918095885
120,"Dawson Knox","TE","Buf",0,0,0,0,0,0,0,0,46,557,6,71,82.5,134.7,9,15,13,"te2",0.558333333333334,0.6,0.0661401776900296,0.0714285714285714,1.06614017769003,1.07142857142857,0.5,1.5,1.21252291637287
121,"Noah Fant","TE","Sea",0,0,0,0,0,0,0,0,60,616,3,85,71.7,142.7,8.9,16,14,"te2",0.458333333333334,0.5,0.054294175715696,0.0595238095238095,1.0542941757157,1.05952380952381,0.416666666666667,1.41666666666667,1.17682821730206
122,"Cole Kmet","TE","Chi",0,0,0,0,0,0,0,0,56,601,4,85,57.1,137.1,8.6,16,15,"te2",0.158333333333333,0.199999999999999,0.018756169792695,0.0238095238095237,1.0187561697927,1.02380952380952,0.166666666666666,1.16666666666667,1.06974412008963
123,"Derek Carr","QB","LV",386,579,4183,27,12,32,102,1,0,0,0,0,82.4,330.9,20.7,16,14,"QB2",1.325,1.85,0.0683870967741935,0.0981432360742704,1.06838709677419,1.09814323607427,0.330357142857142,1.33035714285714,1.16562915856854
124,"Kirk Cousins","QB","Min",371,563,4110,29,10,28,97,1,0,0,0,0,67.2,338.9,21.2,16,15,"QB2",1.825,2.35,0.0941935483870967,0.124668435013262,1.0941935483871,1.12466843501326,0.419642857142857,1.41964285714286,1.21283494684774
132,"Irv Smith Jr.","TE","Min",0,0,0,0,0,0,0,0,53,524,5,75,45.4,139.7,8.7,16,16,"te2",0.258333333333333,0.299999999999999,0.0306021717670286,0.0357142857142856,1.03060217176703,1.03571428571429,0.249999999999999,1.25,1.10543881916044
