"gsis_id","name","position","games","pts_tot","pts_avg","pts_std_tot","pts_std_avg","pts_adj_tot","pts_adj_avg"
"00-0036951","F.Darby","WR",1,2.84,2.84,2.5,2.5,0.34,0.34
"00-0036955","T.Marshall","WR",13,79.98,6.15230769230769,83,6.38461538461539,-3.02,-0.232307692307692
"00-0036959","M.Bandy","WR",7,15.04,2.14857142857143,18.9,2.7,-3.86,-0.551428571428571
"00-0036963","A.St. Brown","WR",16,282.94,17.68375,267.6,16.725,15.34,0.95875
"00-0036970","K.Pitts","TE",10,64.66,6.466,75.6,7.56,-10.94,-1.094
"00-0036971","T.Lawrence","QB",17,373.07,21.9452941176471,358.52,21.0894117647059,14.55,0.855882352941174
"00-0036972","M.Jones","QB",14,172.2,12.3,201.08,14.3628571428571,-28.88,-2.06285714285714
"00-0036973","T.Etienne","RB",17,281.7,16.5705882352941,208.9,12.2882352941176,72.8,4.28235294117647
"00-0036980","E.Moore","WR",14,82.9,5.92142857142857,88.5,6.32142857142857,-5.6,-0.4
"00-0036984","T.Sermon","RB",1,3.04,3.04,1.9,1.9,1.14,1.14
"00-0036988","J.Palmer","WR",16,168.26,10.51625,167.3,10.45625,0.959999999999997,0.0599999999999998
"00-0036991","Am.Rodgers","WR",9,42.96,4.77333333333333,43.7,4.85555555555556,-0.740000000000001,-0.0822222222222223
"00-0036997","J.Williams","RB",4,57.06,14.265,44,11,13.06,3.265
"00-0036999","A.Schwartz","WR",6,21.62,3.60333333333333,20.8,3.46666666666667,0.820000000000001,0.136666666666667
"00-0037005","T.Tremble","TE",14,52.28,3.73428571428571,54.4,3.88571428571429,-2.12,-0.151428571428571
"00-0037011","T.McKitty","TE",8,15.32,1.915,17.2,2.15,-1.88,-0.235
"00-0037012","T.Lance","QB",2,6.23,3.115,12.46,6.23,-6.23,-3.115
"00-0037013","Z.Wilson","QB",9,50.46,5.60666666666667,113.72,12.6355555555556,-63.26,-7.02888888888889
"00-0037055","L.McCutcheon","WR",2,-3.3,-1.65,0,0,-3.3,-1.65
"00-0037077","S.Howell","QB",1,15.67,15.67,20.36,20.36,-4.69,-4.69
"00-0037078","C.Turner","TE",5,0.36,0.0720000000000001,4.3,0.86,-3.94,-0.788
"00-0037085","T.Badie","RB",1,9.74,9.74,9.4,9.4,0.34,0.34
"00-0037086","G.Calcaterra","TE",5,12.16,2.432,13.1,2.62,-0.94,-0.188
"00-0037087","T.Ebner","RB",7,6.62,0.945714285714286,7,1,-0.38,-0.0542857142857143
"00-0037093","D.Young","WR",1,5.08,5.08,4.4,4.4,0.68,0.68
"00-0037098","S.Toure","WR",4,17.6,4.4,19.2,4.8,-1.6,-0.4
"00-0037112","J.Tonges","TE",1,-0.66,-0.66,0,0,-0.66,-0.66
"00-0037157","Z.Knight","RB",7,80.76,11.5371428571429,59,8.42857142857143,21.76,3.10857142857143
"00-0037168","A.Rogers","TE",5,16.6,3.32,14,2.8,2.6,0.52
"00-0037175","A.Brown","QB",2,-12.62,-6.31,8.08,4.04,-20.7,-10.35
"00-0037197","I.Pacheco","RB",17,192.56,11.3270588235294,139,8.1764705882353,53.56,3.15058823529412
"00-0037228","J.Warren","RB",16,122.26,7.64125,93.3,5.83125,28.96,1.81
"00-0037238","D.London","WR",17,176.72,10.3952941176471,182.6,10.7411764705882,-5.88,-0.345882352941177
"00-0037239","C.Olave","WR",15,193,12.8666666666667,200.2,13.3466666666667,-7.2,-0.48
"00-0037240","J.Williams","WR",6,12.56,2.09333333333333,15.1,2.51666666666667,-2.54,-0.423333333333333
"00-0037247","G.Pickens","WR",17,161.84,9.52,164.5,9.6764705882353,-2.66,-0.156470588235294
"00-0037248","J.Cook","RB",16,138,8.625,107.7,6.73125,30.3,1.89375
"00-0037252","G.Dulcich","TE",10,82.8,8.28,86.1,8.61,-3.3,-0.33
"00-0037256","R.White","RB",16,184.68,11.5425,144.1,9.00625,40.58,2.53625
"00-0037257","Dav.Bell","WR",14,46.3,3.30714285714286,45.4,3.24285714285714,0.899999999999999,0.0642857142857142
"00-0037258","D.Pierce","RB",13,231,17.7692307692308,170.4,13.1076923076923,60.6,4.66153846153846
"00-0037261","K.Shakir","WR",10,28.24,2.824,32.1,3.21,-3.86,-0.386
