"rank","name","position","team","comp","attempt","pass_yds","pass_td","int","car","rush_yds","rush_td","receptions","rec_yds","rec_td","tar","pct_rost","pts_tot","pts_avg","games","pos_rank","pos","pos_avg_var","pos_med_var","val_adj_avg","val_adj_med","val1","val2","val_adj_range","val3","avg_val"
49,"Courtland Sutton","WR","Den",0,0,0,0,0,0,0,0,65,963,8,111,91.2,202.5,12.7,16,28,"wr3",3.93333333333334,3.30000000000001,0.0198086285042807,0.016566265060241,10.1980862850428,10.1656626506024,0.257812500000001,12.578125,10.9806246452151
50,"Kyle Pitts","TE","Atl",0,0,0,0,0,0,0,0,75,960,4,118,99.5,194.8,12.2,16,3,"te1",15.6583333333333,17.8,0.0874075452388705,0.100564971751412,5.43703772619435,5.50282485875706,0.170498084291188,5.85249042145594,5.59745100213578
51,"Travis Etienne Jr.","RB","Jax",0,0,0,0,0,144,634,4,54,422,2,71,90.8,202.3,13.5,15,24,"rb2",-19.6833333333333,-19.6,-0.0886703205946393,-0.088328075709779,22.783241985134,22.7917981072555,-0.449541284403669,13.7614678899083,19.7788359940993
52,"Chris Godwin","WR","TB",0,0,0,0,0,4,24,0,77,884,6,107,93.4,209.9,14,15,20,"wr2",-3.85833333333332,-4.90000000000001,-0.0180499785583407,-0.0228119180633147,23.5668005145998,23.4525139664804,-0.266304347826087,17.6086956521739,21.5426700444181
53,"Amon-Ra St. Brown","WR","Det",0,0,0,0,0,13,79,1,80,875,5,113,93.2,217.3,13.6,16,16,"wr2",3.54166666666669,2.5,0.0165685548321704,0.0116387337057728,24.3976453159721,24.2793296089385,0.135869565217391,27.2608695652174,25.3126148300427
54,"Darnell Mooney","WR","Chi",0,0,0,0,0,4,25,0,76,1086,4,128,91.6,204.3,12.8,16,25,"wr3",5.73333333333335,5.10000000000002,0.0288735940909855,0.0256024096385543,10.2887359409099,10.2560240963855,0.398437500000001,13.984375,11.5097116790985
55,"Justin Herbert","QB","LAC",379,579,4259,34,12,58,270,3,0,0,0,0,99.6,410.1,25.6,16,3,"QB1",24.1,28.45,0.0624352331606218,0.0745447399449759,10.6243523316062,10.7454473994498,0.251103265666373,12.5110326566637,11.2936107959066
56,"Amari Cooper","WR","Cle",0,0,0,0,0,0,0,0,78,909,6,116,91.9,207.7,13,16,23,"wr2",-6.05833333333334,-7.10000000000002,-0.028341974971736,-0.0330540037243949,23.3197926006783,23.2067039106145,-0.385869565217392,14.7391304347826,20.4218756486918
57,"Gabriel Davis","WR","Buf",0,0,0,0,0,0,0,0,63,919,9,106,88.7,200.3,12.5,16,30,"wr3",1.73333333333335,1.10000000000002,0.00872922612053055,0.00552208835341377,10.0872922612053,10.0552208835341,0.0859375000000017,10.859375,10.3339627149132
58,"Michael Thomas","WR","NO",0,0,0,0,0,0,0,0,76,820,5,107,91.7,193.8,13.8,14,34,"wr3",-4.76666666666665,-5.39999999999998,-0.0240053718314587,-0.0271084337349396,9.75994628168541,9.7289156626506,-0.421874999999998,5.78125000000002,8.42337064811201
